1507881378.09593987,$GPROM CORE 6.02 (36023) Oct 15 2009 16:52:08*56

1507881378.0959959,$GPRV=AC SD PDoS SR*20

1507881452.10108113,$GPRMC,075735.00,A,3110.31202,N,12124.52233,E,0.376,212.76,131017,,,A*6A

1507881453.10018921,$GPRMC,075736.00,A,3110.31208,N,12124.52212,E,0.284,,131017,,,A*72

1507881454.10202551,$GPRMC,075737.00,A,3110.31218,N,12124.52187,E,0.229,,131017,,,A*7A

1507881455.09826398,$GPRMC,075738.00,A,3110.31221,N,12124.52174,E,0.145,,131017,,,A*7A

1507881456.10187054,$GPRMC,075739.00,A,3110.31224,N,12124.52162,E,0.179,,131017,,,A*76

1507881457.09881544,$GPRMC,075740.00,A,3110.31224,N,12124.52156,E,0.201,,131017,,,A*73

1507881458.10207486,$GPRMC,075741.00,A,3110.31202,N,12124.52180,E,0.055,,131017,,,A*7E

1507881459.10364771,$GPRMC,075742.00,A,3110.31046,N,12124.52406,E,0.938,,131017,,,A*76

1507881460.1052053,$GPRMC,075743.00,A,3110.31091,N,12124.52367,E,1.127,,131017,,,A*7A

1507881461.10338712,$GPRMC,075744.00,A,3110.31025,N,12124.52444,E,2.095,,131017,,,A*7F

1507881462.10448861,$GPRMC,075745.00,A,3110.31007,N,12124.52429,E,2.526,,131017,,,A*78

1507881463.1039958,$GPRMC,075746.00,A,3110.30943,N,12124.52432,E,3.609,208.40,131017,,,A*66

1507881464.10671115,$GPRMC,075747.00,A,3110.30822,N,12124.52492,E,5.114,194.64,131017,,,A*66

1507881465.10405397,$GPRMC,075748.00,A,3110.30670,N,12124.52545,E,7.240,183.63,131017,,,A*6A

1507881466.10317016,$GPRMC,075749.00,A,3110.30464,N,12124.52540,E,9.265,179.98,131017,,,A*61

1507881467.10690236,$GPRMC,075750.00,A,3110.30253,N,12124.52596,E,7.648,174.73,131017,,,A*6D

1507881468.10472584,$GPRMC,075751.00,A,3110.30035,N,12124.52617,E,8.479,174.70,131017,,,A*68

1507881469.10469794,$GPRMC,075752.00,A,3110.29831,N,12124.52594,E,6.883,175.63,131017,,,A*63

1507881470.10593843,$GPRMC,075753.00,A,3110.29633,N,12124.52580,E,6.120,176.66,131017,,,A*6D

1507881471.10468483,$GPRMC,075754.00,A,3110.29474,N,12124.52515,E,5.899,178.27,131017,,,A*64

1507881472.10574722,$GPRMC,075755.00,A,3110.29319,N,12124.52437,E,6.056,182.48,131017,,,A*6C

1507881473.10477567,$GPRMC,075756.00,A,3110.29175,N,12124.52377,E,6.471,191.06,131017,,,A*6D

1507881474.11132145,$GPRMC,075757.00,A,3110.29063,N,12124.52238,E,6.901,205.42,131017,,,A*64

1507881475.10789847,$GPRMC,075758.00,A,3110.28937,N,12124.52091,E,7.546,216.14,131017,,,A*6C

1507881476.11089754,$GPRMC,075759.00,A,3110.28857,N,12124.51859,E,8.144,231.35,131017,,,A*6A

1507881477.10800242,$GPRMC,075800.00,A,3110.28766,N,12124.51587,E,8.832,237.84,131017,,,A*6E

1507881478.10740304,$GPRMC,075801.00,A,3110.28705,N,12124.51308,E,9.533,244.52,131017,,,A*69

1507881479.10760307,$GPRMC,075802.00,A,3110.28666,N,12124.50974,E,10.242,251.05,131017,,,A*51

1507881480.11349392,$GPRMC,075803.00,A,3110.28610,N,12124.50621,E,10.851,253.17,131017,,,A*57

1507881481.10775256,$GPRMC,075804.00,A,3110.28533,N,12124.50261,E,11.478,254.29,131017,,,A*5E

1507881482.1063869,$GPRMC,075805.00,A,3110.28460,N,12124.49883,E,11.878,256.23,131017,,,A*52

